elong_idx,eq_idx,mean_mass_g
1,2PC,93.92302273700001
1,58,62.638136289
1,63 L,86.79831289900001
1,63 M,76.705579829
1,63 S,68.552273954
1,67,103.20275729800001
1,67(66.4),112.717298595
1,67(66.6),113.60169386700001
1,67(66.8),114.49743745100001
1,72,124.362650887
1,OS,151.43609714000002
1,US,52.597783438
2,2PC,97.639772143
2,58,64.67390222600001
2,63 L,89.988433102
2,63 M,79.35051249600001
2,63 S,70.820415807
2,67,107.383254257
2,67(66.4),117.83847996
2,67(66.6),118.77115826200001
2,67(66.8),119.72226448100001
2,72,130.000129042
2,OS,159.76452833500002
2,US,54.457212297000005
3,2PC,98.92221265200001
3,58,65.35970300800001
3,63 L,91.174278559
3,63 M,80.312623736
3,63 S,71.601383502
3,67,108.7949681
3,67(66.4),119.45124822700001
3,67(66.6),120.43916449000001
3,67(66.8),121.39385594900001
3,72,131.74518030000002
3,OS,162.03742906300002
3,US,55.111100254
4,2PC,100.140600765
4,58,66.12407060400001
4,63 L,92.234528557
4,63 M,81.281675378
4,63 S,72.493124436
4,67,110.202047389
4,67(66.4),121.085978924
4,67(66.6),122.061055069
4,67(66.8),123.03548189800001
4,72,133.506843515
4,OS,164.309107586
4,US,55.732198728
5,2PC,101.388010628
5,58,66.780680059
5,63 L,93.338805921
5,63 M,82.202536316
5,63 S,73.22054309800001
5,67,111.59652829900001
5,67(66.4),122.68565386600001
5,67(66.6),123.628555868
5,67(66.8),124.66889105300001
5,72,135.24396263100002
5,OS,166.635874699
5,US,56.328549721
6,2PC,102.554059456
6,58,67.46890475500001
6,63 L,94.425038392
6,63 M,83.040679837
6,63 S,74.000518947
6,67,112.87422602000001
6,67(66.4),124.131035619
6,67(66.6),125.057377005
6,67(66.8),126.146140798
6,72,136.825375482
6,OS,168.61763783700002
6,US,56.808001700000005
7,2PC,103.728260417
7,58,68.210635858
7,63 L,95.490270202
7,63 M,84.05327505700001
7,63 S,74.852157026
7,67,114.272654779
7,67(66.4),125.68372421400001
7,67(66.6),126.65108369800001
7,67(66.8),127.75084607100001
7,72,138.61088247
7,OS,170.85180119700001
7,US,57.409101923
8,2PC,105.18015311900001
8,58,68.997703414
8,63 L,96.706339544
8,63 M,85.03390301
8,63 S,75.703856172
8,67,115.85875055800001
8,67(66.4),127.33657216900001
8,67(66.6),128.37551951700001
8,67(66.8),129.51038121300002
8,72,140.53217244500001
8,OS,173.37875076400002
8,US,57.966267143
9,2PC,106.91245604900001
9,58,70.13485515900001
9,63 L,98.424127956
9,63 M,86.47980600000001
9,63 S,77.006200455
9,67,117.70701151600001
9,67(66.4),129.487569844
9,67(66.6),130.61253875
9,67(66.8),131.75467114
9,72,142.946254576
9,OS,176.205422637
9,US,58.713498299
10,2PC,110.534360823
10,58,72.813198211
10,63 L,101.733740802
10,63 M,89.58423764300001
10,63 S,79.81727511700001
10,67,121.47679764600001
10,67(66.4),133.651624803
10,67(66.6),134.78843613200002
10,67(66.8),135.956879715
10,72,147.276389254
10,OS,180.82032456500002
10,US,60.586152340000005
11,2PC,120.902609716
11,58,79.586994956
11,63 L,110.874556146
11,63 M,97.49286122500001
11,63 S,87.23410705100001
11,67,132.261745431
11,67(66.4),146.62673869
11,67(66.6),147.830389222
11,67(66.8),148.911278793
11,72,159.96383072700002
11,OS,194.27449306300002
11,US,64.056520821
